Unnamed: 0,review_id,pseudo_author_id,author_name,review_text,review_rating,review_likes,author_app_version,review_timestamp,raw_word_count,length_type,length_type2,tokens
2636060,dd758df4-7db1-4c92-b21b-5a30ab76d8eb,163162349272836689572,Li****************ez,This app kicked me out while listening to music. It's asking me to log back in but it's not accepting my login information.,4,0,8.7.8.1206,2022-03-08 18:52:05,23,Long,Long,"['this', 'app', 'kicked', 'me', 'out', 'while', 'listening', 'to', 'music', '.', 'it', ""'"", 's', 'asking', 'me', 'to', 'log', 'back', 'in', 'but', 'it', ""'"", 's', 'not', 'accepting', 'my', 'log', '##in', 'information', '.']"
1796128,a083aeb6-a2a9-4a4f-afd1-95053caab2b6,215098151090613366555,A Google user,"All around, one of the best apps to use and an essential top 3 app that you must have on your phone. Out with itunes and in with spotify. Thank you guys!",5,0,8.5.47.1006,2020-03-22 19:10:13,32,Long,Long,"['all', 'around', ',', 'one', 'of', 'the', 'best', 'apps', 'to', 'use', 'and', 'an', 'essential', 'top', '3', 'app', 'that', 'you', 'must', 'have', 'on', 'your', 'phone', '.', 'out', 'with', 'itunes', 'and', 'in', 'with', 'spot', '##ify', '.', 'thank', 'you', 'guys', '!']"
2707726,7641001b-38d2-48d9-915e-9012fc08629b,297415212827552609523,H****a,Me when not Spotify: 💀 Me when Spotify: *ascends*,5,0,8.7.28.1217,2022-05-08 02:33:19,9,Medium,Long,"['me', 'when', 'not', 'spot', '##ify', ':', '[UNK]', 'me', 'when', 'spot', '##ify', ':', '*', 'as', '##cend', '##s', '*']"
1983517,64992275-f919-4f3c-b072-eb8ccd32b3df,229155325610908710682,Je*************th,This app just takes the Mick tried listening to music but randomly keeps stopping for some reason it's a terrible app,1,0,,2020-09-01 23:45:34,21,Long,Long,"['this', 'app', 'just', 'takes', 'the', 'mick', 'tried', 'listening', 'to', 'music', 'but', 'randomly', 'keeps', 'stopping', 'for', 'some', 'reason', 'it', ""'"", 's', 'a', 'terrible', 'app']"
2141853,0927b629-bd44-43d8-b8b2-d1579df26f7a,285681664825285925406,Je*************no,I just love it bc I can listen to my fav artist,5,0,8.5.89.901,2021-01-13 04:52:14,12,Long,Long,"['i', 'just', 'love', 'it', 'bc', 'i', 'can', 'listen', 'to', 'my', 'fa', '##v', 'artist']"
3110292,bdf99a0b-d3a6-4b5c-9167-23a4cee436b1,334704970886086108241,Mo***********************hi,Fudu app ga ye,1,0,8.8.36.522,2023-07-07 01:22:13,4,Short,Short,"['fu', '##du', 'app', 'ga', 'ye']"
2827569,c94daf00-418c-41d8-bb1f-f90cabc7a374,238838779002610009302,Ch******po,Ads are irritate please stop it.,1,0,,2022-09-02 14:06:26,6,Short,Short,"['ads', 'are', 'ir', '##rita', '##te', 'please', 'stop', 'it', '.']"
1897939,f29538dd-5151-4ab8-b31d-40ce93340f88,144318147772959458200,Ra**********av,Good app to listen our favorite songs,4,0,8.5.62.904,2020-06-19 03:47:30,7,Medium,Long,"['good', 'app', 'to', 'listen', 'our', 'favorite', 'songs']"
2192181,95ff6fc5-e17e-4131-a21f-101717ca66de,284623387912328810672,Wa***vy,Bring back our korean music's! I subscribe to this monthly and I demand to have it back.,1,2,8.5.94.839,2021-02-28 23:03:15,17,Long,Long,"['bring', 'back', 'our', 'korean', 'music', ""'"", 's', '!', 'i', 'sub', '##scribe', 'to', 'this', 'monthly', 'and', 'i', 'demand', 'to', 'have', 'it', 'back', '.']"
1683167,cc639522-66f7-4d07-b30d-c38f67a02ff5,260258940828374709633,A Google user,Nice aap to find all type of song,5,0,8.5.32.889,2019-12-03 02:53:23,8,Medium,Long,"['nice', 'aa', '##p', 'to', 'find', 'all', 'type', 'of', 'song']"
2735133,85d925da-3ade-45be-8839-be641bb342fe,460558472414278026324,An*********am,Love it!!,5,0,,2022-06-03 17:27:09,2,Very short,Short,"['love', 'it', '!', '!']"
3237582,6349682a-4aea-41c1-914b-10ee444861ad,952765352264332495303,Re******na,Good mix combination. I loved all the songs played. Keep up the good work. Amapiano 4 life....,5,0,8.8.70.532,2023-09-18 18:42:27,17,Long,Long,"['good', 'mix', 'combination', '.', 'i', 'loved', 'all', 'the', 'songs', 'played', '.', 'keep', 'up', 'the', 'good', 'work', '.', 'ama', '##pia', '##no', '4', 'life', '.', '.', '.', '.']"
1784538,aa29ceec-6737-4e32-9b4d-8646f6096007,249619444383333815256,A Google user,I've had spotify for 4 years and I dont think I'll ever stop using it 10/10 ♡♡♡♡,5,0,8.5.48.1049,2020-03-11 04:22:40,17,Long,Long,"['i', ""'"", 've', 'had', 'spot', '##ify', 'for', '4', 'years', 'and', 'i', 'don', '##t', 'think', 'i', ""'"", 'll', 'ever', 'stop', 'using', 'it', '10', '/', '10', '[UNK]']"
3311428,fe57c28e-0220-45c6-81d8-b27a68373868,167455408317697825465,Md*****an,"India me iss app ko ban Kiya jae please our pm I request you, Ban this app",1,0,,2023-10-22 03:05:14,17,Long,Long,"['india', 'me', 'iss', 'app', 'ko', 'ban', 'ki', '##ya', 'jae', 'please', 'our', 'pm', 'i', 'request', 'you', ',', 'ban', 'this', 'app']"
2371301,873cbd69-7efd-4264-b6db-7b95eded9b73,203855392669670144194,Ed*********io,Great experience,5,0,8.6.48.792,2021-07-29 19:53:10,2,Very short,Short,"['great', 'experience']"
1799493,dfac403a-35f7-499d-9537-a3b0a66229d8,282046412353529469932,A Google user,great and I can lisen to some of my fav songs with no wifi,5,0,8.5.50.916,2020-03-25 20:01:24,14,Long,Long,"['great', 'and', 'i', 'can', 'li', '##sen', 'to', 'some', 'of', 'my', 'fa', '##v', 'songs', 'with', 'no', 'wi', '##fi']"
3291627,53645ac0-a756-4417-b9c7-5fb40f4079fe,110414964479013633693,Ta****************ar,New update suckssss!,1,0,8.8.76.667,2023-10-17 12:36:34,3,Very short,Short,"['new', 'update', 'sucks', '##ss', '##s', '!']"
1855639,253d7fb4-f825-48cd-8342-ff5308b2dabe,234031310244019465551,Na**********on,bettereaptal from ok..,4,0,,2020-05-14 01:53:34,3,Very short,Short,"['better', '##ea', '##pta', '##l', 'from', 'ok', '.', '.']"
3235773,e24349b1-5c4d-4373-a7d7-c330e8d87666,285338966989042894711,La***********ya,It's very good,4,0,8.8.70.532,2023-09-17 10:24:09,3,Very short,Short,"['it', ""'"", 's', 'very', 'good']"
2885149,8012e4ed-af61-4f20-b4f4-6b2ae3b9c511,224295861976231081390,Br******el,Unless it is fixed I can't not have it on shuffle it is tuck on shuffle,2,0,8.7.78.374,2022-11-06 01:14:10,16,Long,Long,"['unless', 'it', 'is', 'fixed', 'i', 'can', ""'"", 't', 'not', 'have', 'it', 'on', 'shuffle', 'it', 'is', 'tuck', 'on', 'shuffle']"
2602433,0240ce70-4dc9-499d-b011-5d46e481279b,155656993163509553312,An********no,good stuff.,5,0,8.7.2.1205,2022-02-09 01:54:10,2,Very short,Short,"['good', 'stuff', '.']"
2215355,ac374949-77ca-4a3b-b434-e9ab0e443dd7,561345061585447630608,De*****Hi,amazing i luv,5,0,8.6.8.1094,2021-03-18 23:14:27,3,Very short,Short,"['amazing', 'i', 'lu', '##v']"
1965056,98abd8d8-c72f-4faa-a1db-341a464b5149,180193283566000131579,Th************em,I've been using spotify for years with no problems but now it keeps randomly stopping and closing or generally freezing? I dont wanna be paying monthly for 20 seconds of a song before it freezes and I have to start the song again or skip it 😂,1,0,8.5.71.723,2020-08-16 14:38:54,47,Long,Long,"['i', ""'"", 've', 'been', 'using', 'spot', '##ify', 'for', 'years', 'with', 'no', 'problems', 'but', 'now', 'it', 'keeps', 'randomly', 'stopping', 'and', 'closing', 'or', 'generally', 'freezing', '?', 'i', 'don', '##t', 'wanna', 'be', 'paying', 'monthly', 'for', '20', 'seconds', 'of', 'a', 'song', 'before', 'it', 'freeze', '##s', 'and', 'i', 'have', 'to', 'start', 'the', 'song', 'again', 'or', 'skip', 'it', '[UNK]']"
3148688,2b16f381-308f-472c-8006-afbb71c8fbcf,178501093073298741835,Zu*******in,Because you are the people who disrespect our religion.,1,0,,2023-07-11 09:27:11,9,Medium,Long,"['because', 'you', 'are', 'the', 'people', 'who', 'di', '##sr', '##es', '##pe', '##ct', 'our', 'religion', '.']"
3235144,5e01ba76-0047-4ba1-8695-a89ff391398b,208368785177234060730,SA********JU,Fav app. ❤‍🔥✨,5,0,8.8.70.532,2023-09-16 22:05:09,3,Very short,Short,"['fa', '##v', 'app', '.', '[UNK]']"
2560783,13263868-54ce-4cf9-aab4-ffceacb35d3d,106896575384413942607,im******gm,very good music player app,5,0,,2022-01-09 08:58:20,5,Short,Short,"['very', 'good', 'music', 'player', 'app']"
2271377,b8bd83d6-83f8-400a-ad87-14dee86cdff0,103316586576502151055,Da*******er,"Was about to sign up, then encountered a screen where I was forced to enter a gender, which included ""non-binary"". Nope, not today Spotify. Goodbye. No more ""woke"" BS. Will never use or recommend your service.",1,0,,2021-05-05 14:50:52,36,Long,Long,"['was', 'about', 'to', 'sign', 'up', ',', 'then', 'encountered', 'a', 'screen', 'where', 'i', 'was', 'forced', 'to', 'enter', 'a', 'gender', ',', 'which', 'included', '""', 'non', '-', 'binary', '""', '.', 'nope', ',', 'not', 'today', 'spot', '##ify', '.', 'goodbye', '.', 'no', 'more', '""', 'woke', '""', 'bs', '.', 'will', 'never', 'use', 'or', 'recommend', 'your', 'service', '.']"
2717332,13182c47-23b0-4497-a6fe-df4f8479fe16,850034582361059406004,Ar*****************za,Great App,5,0,8.7.26.901,2022-05-17 13:35:01,2,Very short,Short,"['great', 'app']"
3292950,0f4c6f36-31ee-4651-92d9-fb6c338776f8,224199629018322915093,La**************ba,LOVE IT SO MUCH!!!,5,0,8.8.76.667,2023-10-17 16:35:27,4,Short,Short,"['love', 'it', 'so', 'much', '!', '!', '!']"
2887930,86e7ca05-ec37-4af2-a4cb-31f34df4b729,318779415457052059013,Pr*************an,super,5,0,8.7.76.359,2022-11-09 04:47:43,1,Very short,Short,['super']
2536181,bf2b31a1-7178-4a36-bdb2-a9a1df61b7ea,168519982828110474361,****,"good app, only place i listen to music. but there's so many ads, it'll say ""30 minutes ad free"" then after like two songs it'll play an ad. also if i use my six skips it'll play an ad, like what?? 😑",3,1,8.6.86.1231,2021-12-18 09:13:04,42,Long,Long,"['good', 'app', ',', 'only', 'place', 'i', 'listen', 'to', 'music', '.', 'but', 'there', ""'"", 's', 'so', 'many', 'ads', ',', 'it', ""'"", 'll', 'say', '""', '30', 'minutes', 'ad', 'free', '""', 'then', 'after', 'like', 'two', 'songs', 'it', ""'"", 'll', 'play', 'an', 'ad', '.', 'also', 'if', 'i', 'use', 'my', 'six', 'skip', '##s', 'it', ""'"", 'll', 'play', 'an', 'ad', ',', 'like', 'what', '?', '?', '[UNK]']"
2972159,da44f5c6-8d80-40ab-a56c-bab9f8de1ba6,483244097037330567429,Mo**************na,I love it,5,0,8.8.2.434,2023-02-05 15:34:34,3,Very short,Short,"['i', 'love', 'it']"
3224859,eca01eb9-3ad8-471a-bd4f-6b538f86ff6b,108717136780358682182,Ha****et,"Without shuffle played, 😞 please manage this problem",1,0,8.8.66.563,2023-09-09 16:31:01,8,Medium,Long,"['without', 'shuffle', 'played', ',', '[UNK]', 'please', 'manage', 'this', 'problem']"
3046125,00628e24-ea48-4e10-929c-6841f7b027a0,336738414672715646977,Ra**********on,THIS REALLY SUCKED EVERYTIME I HIT A CERTIAN SONG It just changes to ANOTHER!!! PLEASE FIX THIS,1,1,8.8.28.409,2023-05-06 17:26:02,17,Long,Long,"['this', 'really', 'sucked', 'every', '##time', 'i', 'hit', 'a', 'ce', '##rti', '##an', 'song', 'it', 'just', 'changes', 'to', 'another', '!', '!', '!', 'please', 'fix', 'this']"
2222307,54c1c63c-3d87-4df1-bbb9-2c75f96b660f,188335917584891304368,sa**************ar,Just fantastic,5,0,8.6.10.581,2021-03-24 18:04:58,2,Very short,Short,"['just', 'fantastic']"
2722917,1ecac71e-063d-4665-9a62-a33fd2d2dd36,243485748682376261759,Bl****ar,THIS APP IS SOO ANNOYING WITH FULL OF ADS🤬🤬🤬 AN POPS UP AFTER EVERY SINGLE SONG😡😡😡,1,0,,2022-05-23 03:33:42,16,Long,Long,"['this', 'app', 'is', 'soo', 'annoying', 'with', 'full', 'of', '[UNK]', 'an', 'pops', 'up', 'after', 'every', 'single', '[UNK]']"
2242870,95b5b67e-2bbf-4878-96b1-3d0732fd7c3d,405832949630252963137,Em*****ri,Exellent but old songs are not available,5,0,8.6.14.975,2021-04-10 13:34:17,7,Medium,Long,"['ex', '##elle', '##nt', 'but', 'old', 'songs', 'are', 'not', 'available']"
3288390,4401211e-4395-4ee9-9362-e4c9a08fa988,209858423744740212802,Ja*******ar,This app 'was' the best app but not now cause of it's new update's,1,0,8.8.78.587,2023-10-16 16:41:57,14,Long,Long,"['this', 'app', ""'"", 'was', ""'"", 'the', 'best', 'app', 'but', 'not', 'now', 'cause', 'of', 'it', ""'"", 's', 'new', 'update', ""'"", 's']"
3196735,82ac5d2a-3d60-4605-96ad-bd80a34fa039,326259652413098599100,Le**********ls,It wouldn't connect to the I ternwt for no reason tried everything just a goofy ahh app fr,1,0,8.8.58.473,2023-08-15 19:37:20,18,Long,Long,"['it', 'wouldn', ""'"", 't', 'connect', 'to', 'the', 'i', 'ter', '##n', '##wt', 'for', 'no', 'reason', 'tried', 'everything', 'just', 'a', 'goofy', 'ah', '##h', 'app', 'fr']"
1949733,02fa3281-6aad-4839-babd-038018c52572,206145333921856522668,Sa*** H,"This is my go app to listen to music and podcasts! I don't have premium, so the reason I give it 4 stars is because I feel like with each update it's limiting free users more and more. I've been using the app for years so it's really disappointing to have the experience change so much. I'm sure the app would be a perfect 5 star experience if I had premium.",4,2,8.5.68.904,2020-08-03 02:38:32,71,Long,Long,"['this', 'is', 'my', 'go', 'app', 'to', 'listen', 'to', 'music', 'and', 'podcast', '##s', '!', 'i', 'don', ""'"", 't', 'have', 'premium', ',', 'so', 'the', 'reason', 'i', 'give', 'it', '4', 'stars', 'is', 'because', 'i', 'feel', 'like', 'with', 'each', 'update', 'it', ""'"", 's', 'limiting', 'free', 'users', 'more', 'and', 'more', '.', 'i', ""'"", 've', 'been', 'using', 'the', 'app', 'for', 'years', 'so', 'it', ""'"", 's', 'really', 'disappointing', 'to', 'have', 'the', 'experience', 'change', 'so', 'much', '.', 'i', ""'"", 'm', 'sure', 'the', 'app', 'would', 'be', 'a', 'perfect', '5', 'star', 'experience', 'if', 'i', 'had', 'premium', '.']"
1866877,72dd8175-9b6b-466e-b4a0-3f2e1d59b063,314623789903038620023,NA******IN,Please remove recently listened songs from home .... Please,3,0,,2020-05-23 07:27:07,9,Medium,Long,"['please', 'remove', 'recently', 'listened', 'songs', 'from', 'home', '.', '.', '.', '.', 'please']"
2046676,8a94a2bc-e850-42ba-9002-3990eb1059f3,145044615582695538474,jo************te,"paid for it today , can't download the app",1,0,,2020-10-22 07:06:24,9,Medium,Long,"['paid', 'for', 'it', 'today', ',', 'can', ""'"", 't', 'download', 'the', 'app']"
2722924,83804a1b-54fb-4c3d-b4df-d34eec48469b,164558614643470706338,Sh************re,Nice experience while driving my bike with headphones 🎧🎧 very good man keep it up u r doing great job I like playlist about songs album,3,0,8.7.32.1554,2022-05-23 03:47:21,26,Long,Long,"['nice', 'experience', 'while', 'driving', 'my', 'bike', 'with', 'head', '##phones', '[UNK]', 'very', 'good', 'man', 'keep', 'it', 'up', 'u', 'r', 'doing', 'great', 'job', 'i', 'like', 'play', '##list', 'about', 'songs', 'album']"
3034814,82885342-5b58-450c-8e93-d42c52557990,226685133241679422740,go*********ri,Useless app like crack,1,0,,2023-04-23 00:12:11,4,Short,Short,"['useless', 'app', 'like', 'crack']"
2665841,f03d096b-b67b-4b20-85bb-ce712ca99843,294174909897502488045,Ни**********ев,"Racist company, will never use their products ever again, keep following mainstream rusophobia and hate on innocent people and your long time customers.",1,1,,2022-04-03 12:18:27,23,Long,Long,"['racist', 'company', ',', 'will', 'never', 'use', 'their', 'products', 'ever', 'again', ',', 'keep', 'following', 'mainstream', 'rus', '##op', '##ho', '##bia', 'and', 'hate', 'on', 'innocent', 'people', 'and', 'your', 'long', 'time', 'customers', '.']"
3230365,1bfb0f6d-672d-4770-928f-3479f61b698e,192585917128667207702,Ma********nd,Great,5,0,8.8.58.473,2023-09-13 11:40:22,1,Very short,Short,['great']
2381647,b57b4584-aeaf-4941-bbe7-2074b6a5f0a2,318397561591458724710,Th*****************re,Too much ad's,2,0,8.6.42.671,2021-08-08 17:13:58,3,Very short,Short,"['too', 'much', 'ad', ""'"", 's']"
2773478,208de350-ba2e-4241-9585-a3abfb7888a4,195678128531314095356,St***ch,"I haven't been able to use APP in two days. Everytime I open it, it crashes and closes",1,0,8.7.44.968,2022-07-11 17:22:07,18,Long,Long,"['i', 'haven', ""'"", 't', 'been', 'able', 'to', 'use', 'app', 'in', 'two', 'days', '.', 'every', '##time', 'i', 'open', 'it', ',', 'it', 'crashes', 'and', 'closes']"
1936497,445bb162-4a81-4c62-abf9-25bb95c8928f,336177652275949298843,Ol*********en,Sort out your Sonos integration and I'll give you 5 stars. Looks like not all rooms/groups are not being found in Spotify but they are in the Sonos app. Other than that your discovery is brill as is the weekly update. Love the multi-user playlists too!!!,4,0,8.5.66.1002,2020-07-22 09:15:02,46,Long,Long,"['sort', 'out', 'your', 'son', '##os', 'integration', 'and', 'i', ""'"", 'll', 'give', 'you', '5', 'stars', '.', 'looks', 'like', 'not', 'all', 'rooms', '/', 'groups', 'are', 'not', 'being', 'found', 'in', 'spot', '##ify', 'but', 'they', 'are', 'in', 'the', 'son', '##os', 'app', '.', 'other', 'than', 'that', 'your', 'discovery', 'is', 'br', '##ill', 'as', 'is', 'the', 'weekly', 'update', '.', 'love', 'the', 'multi', '-', 'user', 'play', '##lists', 'too', '!', '!', '!']"
1941515,9ffddbdc-afac-4460-9d3c-70ee45022911,210892657503763018900,Ba*****Dg,Mie fav app😍,5,0,8.5.68.904,2020-07-26 16:40:31,3,Very short,Short,"['mi', '##e', 'fa', '##v', '[UNK]']"
3322301,4aba41a3-f8cb-4a6b-bd5a-80f9e49f0783,301256884672522066030,Pr*********ar,"used to be good , now it's a joke. I need to pay money so that I can just seek tracks? On top of the already irritating ads? Just for them to pay a mere penny to the artist? Hell nah , I'm going back to listening on some other platforms who aren't as greedy as Spotify.",1,0,8.8.80.599,2023-10-25 11:34:06,57,Long,Long,"['used', 'to', 'be', 'good', ',', 'now', 'it', ""'"", 's', 'a', 'joke', '.', 'i', 'need', 'to', 'pay', 'money', 'so', 'that', 'i', 'can', 'just', 'seek', 'tracks', '?', 'on', 'top', 'of', 'the', 'already', 'irritating', 'ads', '?', 'just', 'for', 'them', 'to', 'pay', 'a', 'mere', 'penny', 'to', 'the', 'artist', '?', 'hell', 'nah', ',', 'i', ""'"", 'm', 'going', 'back', 'to', 'listening', 'on', 'some', 'other', 'platforms', 'who', 'aren', ""'"", 't', 'as', 'greedy', 'as', 'spot', '##ify', '.']"
2606963,0fb43384-b72d-4e02-b937-e39b2e179192,904735323181135624060,No***********re,"It aloud me to choose what I wanted to listen to before now it doesn't, while your at it make it so I can't listen to music unless I pay money, 3 stars only cause I have respect for the devs, but fix your app please.",3,0,8.7.4.1056,2022-02-11 23:56:49,46,Long,Long,"['it', 'aloud', 'me', 'to', 'choose', 'what', 'i', 'wanted', 'to', 'listen', 'to', 'before', 'now', 'it', 'doesn', ""'"", 't', ',', 'while', 'your', 'at', 'it', 'make', 'it', 'so', 'i', 'can', ""'"", 't', 'listen', 'to', 'music', 'unless', 'i', 'pay', 'money', ',', '3', 'stars', 'only', 'cause', 'i', 'have', 'respect', 'for', 'the', 'dev', '##s', ',', 'but', 'fix', 'your', 'app', 'please', '.']"
2375471,87077250-57fd-46d7-bdc7-fef5f90e4daa,340038709453956954289,Ra*********el,Good excellent,5,0,8.6.48.796,2021-08-02 19:06:19,2,Very short,Short,"['good', 'excellent']"
2834647,6fb1ca1f-6d5f-46fb-9e12-109cafa942fa,163465466626716719833,He********er,Ft,5,0,8.7.36.923,2022-09-10 08:42:04,1,Very short,Short,['ft']
1685524,3e991612-bcd0-4371-96ec-d781713de457,207453390009825971452,A Google user,Basically wanted an app to be able to listen music and have a list of my favorite. After few days of using this app is sending to me adds and suggestions for premium membership. I hate when they are so aggressive about money.,1,0,8.5.33.831,2019-12-05 11:00:06,43,Long,Long,"['basically', 'wanted', 'an', 'app', 'to', 'be', 'able', 'to', 'listen', 'music', 'and', 'have', 'a', 'list', 'of', 'my', 'favorite', '.', 'after', 'few', 'days', 'of', 'using', 'this', 'app', 'is', 'sending', 'to', 'me', 'adds', 'and', 'suggestions', 'for', 'premium', 'membership', '.', 'i', 'hate', 'when', 'they', 'are', 'so', 'aggressive', 'about', 'money', '.']"
1999446,ab2877b9-4652-436a-b344-a165df3cb744,196330796143440326345,Va***th,Suddenly my spotify doesn't show the songs list in any album..i can only see the shuffed list.. please tell me what happened..and i updated Spotify today only..help me asap,4,0,8.5.75.766,2020-09-15 08:52:07,29,Long,Long,"['suddenly', 'my', 'spot', '##ify', 'doesn', ""'"", 't', 'show', 'the', 'songs', 'list', 'in', 'any', 'album', '.', '.', 'i', 'can', 'only', 'see', 'the', 'shu', '##ffed', 'list', '.', '.', 'please', 'tell', 'me', 'what', 'happened', '.', '.', 'and', 'i', 'updated', 'spot', '##ify', 'today', 'only', '.', '.', 'help', 'me', 'asa', '##p']"
